id,Growth,Loss,Stable,Growth_cwci,Loss_cwci,Stable_cwci,Growth_discount,Loss_discount,Stable_discount
89126486,0.005,0.99,0.005,0.097,0.807,0.097,0.027,0.855,0.119
89126486,0.005,0.99,0.005,0.097,0.807,0.097,0.0,1.0,0.0
89126486,0.005,0.99,0.005,0.25,0.5,0.25,0.027,0.855,0.119
89126486,0.005,0.99,0.005,0.25,0.5,0.25,0.0,1.0,0.0
89126486,0.005,0.99,0.005,0.097,0.807,0.097,0.027,0.855,0.119
89126486,0.005,0.99,0.005,0.097,0.807,0.097,0.0,1.0,0.0
89126486,0.005,0.99,0.005,0.25,0.5,0.25,0.027,0.855,0.119
89126486,0.005,0.99,0.005,0.25,0.5,0.25,0.0,1.0,0.0
32975512,0.3,0.3,0.4,0.361,0.361,0.278,0.223,0.286,0.491
32975512,0.3,0.3,0.4,0.361,0.361,0.278,0.237,0.512,0.251
32975512,0.3,0.3,0.4,0.356,0.288,0.356,0.223,0.286,0.491
32975512,0.3,0.3,0.4,0.356,0.288,0.356,0.237,0.512,0.251
32975512,0.3,0.4,0.3,0.361,0.361,0.278,0.223,0.286,0.491
32975512,0.3,0.4,0.3,0.361,0.361,0.278,0.237,0.512,0.251
