Growth,Loss,Stable,id
0.375,0.375,0.25,84235829
0.458,0.458,0.083,47824176
0.333,0.333,0.333,7431929
0.375,0.375,0.25,48015767
0.208,0.208,0.583,87789923
0.0,0.0,1.0,65723809
0.267,0.267,0.467,50526337
0.292,0.292,0.417,14576450
0.25,0.5,0.25,7431929
0.292,0.417,0.292,66152324
0.25,0.5,0.25,15723160
0.283,0.433,0.283,2648055
0.25,0.25,0.5,80907998
0.292,0.292,0.417,33158978
0.333,0.333,0.333,20458311
0.333,0.333,0.333,75005688
0.25,0.25,0.5,97611017
0.292,0.292,0.417,23809944
0.333,0.333,0.333,42822105
0.25,0.5,0.25,43497672
0.333,0.333,0.333,68360149
0.375,0.25,0.375,52364911
0.25,0.25,0.5,12964225
0.25,0.25,0.5,98688299
0.292,0.417,0.292,31920893
0.25,0.25,0.5,2648055
0.125,0.75,0.125,74058069
0.167,0.167,0.667,10718510
0.229,0.542,0.229,28698134
0.667,0.167,0.167,87925799
0.333,0.333,0.333,70913663
0.233,0.533,0.233,6175122
0.167,0.167,0.667,43519457
0.167,0.167,0.667,34924907
0.167,0.167,0.667,31187039
0.125,0.125,0.75,95552059
0.292,0.417,0.292,88125391
0.264,0.264,0.472,34821235
0.167,0.667,0.167,29267760
0.208,0.208,0.583,76014959
0.167,0.167,0.667,8287467
0.271,0.271,0.458,72690817
0.25,0.25,0.5,27176504
0.233,0.233,0.533,61170363
0.333,0.333,0.333,55400962
0.125,0.125,0.75,2648055
0.396,0.396,0.208,90371753
0.275,0.275,0.45,68118732
0.306,0.306,0.388,68204702
0.208,0.208,0.583,46106538
0.333,0.333,0.333,6175122
0.319,0.319,0.362,86310004
0.181,0.181,0.638,26640647
0.257,0.257,0.487,20476173
0.333,0.333,0.333,89296575
0.097,0.097,0.807,93056107
0.348,0.305,0.348,88125391
0.312,0.312,0.375,74482556
0.257,0.257,0.487,48691796
0.368,0.368,0.263,17796659
0.354,0.292,0.354,62024586
0.32,0.36,0.32,45386448
0.333,0.333,0.333,27176504
0.326,0.326,0.348,66234141
0.34,0.34,0.32,83507503
0.34,0.34,0.32,93149026
0.252,0.252,0.495,81963277
0.368,0.263,0.368,5145440
0.083,0.083,0.833,68118732
0.152,0.152,0.695,12493287
0.132,0.132,0.737,74866697
0.188,0.188,0.625,43519457
0.333,0.333,0.333,61815817
0.083,0.083,0.833,28461002
0.188,0.188,0.625,20476173
0.188,0.188,0.625,81658253
0.958,0.021,0.021,35937648
0.152,0.152,0.695,34821235
0.05,0.9,0.05,93632229
0.146,0.146,0.708,68614235
0.236,0.236,0.528,17796659
0.167,0.167,0.667,69781003
0.279,0.442,0.279,46161369
0.167,0.167,0.667,61170363
0.16,0.68,0.16,10311653
0.048,0.048,0.903,93149026
0.208,0.208,0.583,44974372
0.264,0.264,0.472,80059405
0.208,0.208,0.583,2587597
0.375,0.375,0.25,68204702
0.125,0.125,0.75,12493287
0.25,0.25,0.5,94665159
0.208,0.208,0.583,34924907
0.333,0.333,0.333,63015257
0.417,0.417,0.167,89296575
0.083,0.083,0.833,81658253
0.458,0.083,0.458,44071040
0.292,0.417,0.292,29267760
0.083,0.083,0.833,78133911
0.458,0.458,0.083,62024586
0.25,0.25,0.5,69781003
0.333,0.333,0.333,96323810
0.125,0.75,0.125,70221300
0.208,0.208,0.583,5808216
0.292,0.417,0.292,13090108
0.375,0.375,0.25,30242302
0.208,0.208,0.583,97611017
0.292,0.292,0.417,74724107
1.0,0.0,0.0,48460786
0.292,0.292,0.417,46106538
0.292,0.417,0.292,74866697
0.25,0.5,0.25,94665159
0.25,0.5,0.25,98460633
0.25,0.5,0.25,75395377
0.25,0.5,0.25,86134641
0.25,0.5,0.25,18622744
0.25,0.25,0.5,285866
0.25,0.5,0.25,85026921
0.25,0.5,0.25,96323810
0.25,0.25,0.5,46161369
0.25,0.5,0.25,45386448
0.25,0.25,0.5,31187039
0.25,0.25,0.5,24270289
0.25,0.5,0.25,58581335
0.25,0.25,0.5,93056107
0.25,0.25,0.5,35937648
0.25,0.25,0.5,44071040
0.25,0.25,0.5,76014959
0.271,0.271,0.458,94992932
0.222,0.222,0.557,5227807
0.167,0.167,0.667,43429587
0.277,0.445,0.277,40235544
0.167,0.167,0.667,56928017
0.167,0.167,0.667,77687355
0.167,0.667,0.167,42212153
0.167,0.167,0.667,49932010
0.139,0.139,0.722,33359956
0.167,0.167,0.667,45184182
0.167,0.167,0.667,18058708
0.277,0.445,0.277,74242783
0.15,0.15,0.7,43657356
0.174,0.652,0.174,49763342
0.167,0.667,0.167,97148679
0.333,0.333,0.333,8056470
0.375,0.25,0.375,48215149
0.167,0.167,0.667,62878897
0.243,0.513,0.243,7717277
0.208,0.208,0.583,66051500
0.167,0.167,0.667,78982016
0.083,0.083,0.833,56928017
0.362,0.362,0.277,33036843
0.194,0.612,0.194,10926420
0.222,0.555,0.222,91003137
0.306,0.306,0.388,53206733
0.263,0.473,0.263,75496092
0.167,0.167,0.667,18058708
0.236,0.236,0.528,80596817
0.389,0.222,0.389,58326896
0.269,0.269,0.462,14551642
0.215,0.215,0.57,40403668
0.277,0.277,0.445,35182382
0.09,0.09,0.82,8056470
0.056,0.888,0.056,36500507
0.146,0.146,0.708,35253994
0.212,0.212,0.577,45288542
0.173,0.653,0.173,90361617
0.083,0.083,0.833,4546422
0.242,0.242,0.515,5072465
0.271,0.271,0.458,90378904
0.083,0.083,0.833,77687355
0.125,0.125,0.75,28925509
0.417,0.417,0.167,99864487
0.292,0.292,0.417,25508080
0.25,0.25,0.5,53206733
0.292,0.292,0.417,80652954
0.458,0.458,0.083,74242783
0.083,0.083,0.833,9270980
0.25,0.5,0.25,15514490
0.458,0.458,0.083,6576413
0.083,0.083,0.833,40403668
0.292,0.292,0.417,51385401
0.0,0.0,1.0,34040843
0.083,0.083,0.833,38525228
0.083,0.083,0.833,12860946
0.125,0.125,0.75,54104969
0.083,0.083,0.833,78339268
0.083,0.083,0.833,61224214
0.167,0.667,0.167,13410646
0.417,0.167,0.417,27233798
